Name,Start-Date,End-Date
Fête de l'Amitié: Spectacle en soutien aux réfugiés syriens,27/01/2019,27/01/2019
British Isles Family History Society of Greater Ottawa - Annual Conference,29/09/2017,01/10/2017
Fleurs de Villes’ Floral Mannequin Series ,18/04/2018,26/04/2018
Dusk Series: Creatures of the Night,16/06/2018,16/06/2018
Lennie Gallant,16/04/2019,16/04/2019
Relay For Life - Canadian Cancer Society,15/06/2018,16/06/2018
The Riparians,17/07/2018,05/08/2018
Victorian Medical Practices,11/07/2018,11/07/2018
Nepean Seniors Recreation Centre Open House,25/10/2018,25/10/2018
In the Room,18/05/2017,18/05/2017
Et l'aube chassant la nuit: 2 - Le pêcheur et le génie,13/02/2018,13/02/2018
An American in Paris - Live!,16/11/2017,18/11/2017
Music for a Sunday Afternoon - Alain Trudel,06/05/2018,06/05/2018
Comedy Night,09/02/2018,09/02/2018
I Can’t Believe It’s Currency,12/05/2018,20/05/2018
Youth Music and Dance Festival,14/07/2017,14/07/2017
Up Country - Kathy M Haycock - opening night,07/06/2018,07/06/2018
 Doors Open Ottawa 2018 - Villages,02/06/2018,03/06/2018
Overbrook Diary,30/11/2018,01/12/2018
Shakespeare in the Park: Romeo & Juliet,30/07/2017,30/07/2017
A Choral Celebration,13/05/2017,13/05/2017
Winterlude,01/02/2019,19/02/2019
City of OM,03/06/2017,03/06/2017
Allsaints Book Fair,04/11/2017,05/11/2017
Charles Spratt: Spring Arrival - Vernissage,16/06/2018,16/06/2018
Greece: Plateia Amerikis (Amerika Square) (EUFF 2017),24/11/2017,24/11/2017
Ottawa International BuskerFest 2017,03/08/2017,07/08/2017
Bring Food Home 2017 ,26/10/2017,29/10/2017
Tranquility,16/10/2018,18/11/2018
José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),04/05/2017,11/06/2017
"Trivia Night, 75 feet underground!",17/06/2017,17/06/2017
Storgårds Conducts Rachmaninoff,17/01/2018,18/01/2018
Double Bill - Rideshares & Rope Swings and In Waking Life,18/08/2017,20/08/2017
Symphony Hack Lab,03/02/2018,03/02/2018
Justin Duhaime Trio featuring Denis Chang,16/12/2017,16/12/2017
Ballade to the Moon,13/05/2017,13/05/2017
Glenn Gould’s String Quartet,13/10/2017,13/10/2017
Justin Duhaime Quartet plays the music of Django Reinhardt,13/05/2018,13/05/2018
Sultans of String Christmas Caravan with special guests Rebecca Campbell and Kellylee Evans,18/12/2018,18/12/2018
Patrick Watson with the NAC Orchestra,19/01/2019,19/01/2019
